,site_code,site_name,Data,continent,country,habitat.type,precip,arid
55,horizon.cr,Horizontes ACG,"Biomass, cover",North America,CR,Forest,1707.572316,NA
56,hubbard.us,Hubbard Brook,"Biomass, cover",North America,US,Forest,1258,1.396999955
57,hulun.cn,GCN-Hulunber,"Biomass, cover",Asia,CN,Grassland,360,0.555000007
58,hyide.de,HYIDE,"Biomass, cover",Europe,DE,Shrubland,541.15,NA
59,indiana.us,Indiana University Research and Teaching Preserve,Cover,North America,US,Forest,1086,NA
60,jenadrt.de,Jena,"Biomass, cover",Europe,DE,Grassland,596.5233333,0.93599999
61,jilpanger.au,Jilpanger,"Biomass, cover",Australia,AU,Forest understory,497,0.402999997
62,jorndrt.us,Jornada_LTER Drt,"Biomass, cover",North America,US,Grassland,241.88,0.144999996
63,jrnchi.us,JRN_Chihuahuan,"Biomass, cover",North America,US,Shrubland,246.6,NA
64,kernb.ca,Kernen_burned,"Biomass, cover",North America,CA,Grassland,353.7,0.442999989
65,kernnu.ca,Kernen_unburned,"Biomass, cover",North America,CA,Grassland,353.7,0.442999989
66,kinsella.ca,Kinsella,"Biomass, cover",North America,CA,Grassland,406.24,0.593999982
67,kiskun.hu,Kiskunsag,"Biomass, cover",Europe,HU,Grassland,596,0.623000026
68,konzadrt.us,Konza,"Biomass, cover",North America,US,Grassland,830,0.674000025
69,kranz.de,Kranzberg forest,"Biomass, cover",Europe,DE,Forest,791.3,1.220000029
70,lcnorth.cl,La Campana North Facing,"Biomass, cover",South America,CL,Grassland,384,0.358999997
71,lcsouth.cl,La Campana South Facing,"Biomass, cover",South America,CL,Grassland,384,0.358999997
72,lygraint.no,Lygra intermediate,"Biomass, cover",Europe,NO,Shrubland,2234,5.109000206
73,lygraold.no,Lygra old,"Biomass, cover",Europe,NO,Shrubland,2234,5.109000206
74,lygrayng.no,Lygra young,"Biomass, cover",Europe,NO,Shrubland,2234,5.109000206
75,marcdrt.ar,Mar Chiquita Drt,"Biomass, cover",South America,AR,Grassland,927.9,0.850000024
76,matador.ca,Matador,"Biomass, cover",North America,CA,Grassland,358.4,0.368999988
77,matta.il,Matta LTER,"Biomass, cover",Asia,IL,Shrubland,540,0.421000004
78,mattheis.ca,Mattheis,"Biomass, cover",North America,CA,Grassland,329.11,0.384000003
79,milparinka.au,Milparinka,"Biomass, cover",Australia,AU,Grassland,192,0.104000002
80,morient.ar,Monte Oriental,"Biomass, cover",South America,AR,Shrubland,382.7,0.217999995
81,mpgranch.us,MPG Ranch,"Biomass, cover",North America,US,Grassland,344.9,NA
82,naposta.ar,Naposta,"Biomass, cover",South America,AR,Grassland,553,0.518999994
83,naqu.cn,GCN-Naqu,"Biomass, cover",Asia,CN,Grassland,430,0.497999996
84,neudamm.na,Neudamm,"Biomass, cover",Africa,NA,Grassland,370,0.263999999
85,nnss.us,NNSS_Mojave,"Biomass, cover",North America,US,Shrubland,132.8,NA
86,noor.ir,Noor,"Biomass, cover",Asia,IR,Grassland,1200.6,NA
87,nplatte.us,North Platte,"Biomass, cover",North America,US,Shrubland,305,0.224999994
88,nyngan.au,Nyngan,"Biomass, cover",Australia,AU,Grassland,441,0.277999997
89,octc.us,OCTC_GreatBasin,"Biomass, cover",North America,US,Shrubland,297.9,NA
90,oklah.us,Oklahoma (KAEFS-OK),"Biomass, cover",North America,US,Grassland,880,0.529999971
91,oreaa.us,ORE IDE AA,"Biomass, cover",North America,US,Shrubland,497,0.495999992
92,oreac.us,ORE IDE AC,"Biomass, cover",North America,US,Shrubland,497,0.495999992
93,p12.pa,P12,"Biomass, cover",North America,PA,Forest,2595.041,NA
94,p13.pa,P13,"Biomass, cover",North America,PA,Forest,2590.691,NA
95,paike.ar,Potrok Aike Drt,"Biomass, cover",South America,AR,Grassland,202,0.344999999
96,passogavia.it,Passo Gavia,"Biomass, cover",Europe,IT,Grassland,1281,1.639000058
97,pineta.es,Pineta,"Biomass, cover",Europe,ES,Grassland,1356.602,1.396999955
98,plattev.us,University of Wisconsin-Platteville Greenhouses,"Biomass, cover",North America,US,Grassland,961.6,0.897000015
99,pneburn.br,PNE_IDE Burned,"Biomass, cover",South America,BR,Grassland,1568.26,1.174000025
100,pneunburn.br,PNE_IDE Unburned,"Biomass, cover",South America,BR,Grassland,1568.26,1.174000025
101,pozos.ar,los_pozos,"Biomass, cover",South America,AR,Grassland,244,0.216999993
102,prades.es,Prades (Spain),"Biomass, cover",Europe,ES,Forest,654,0.569000006
103,purdue.us,Purdue Wildlife Area,"Biomass, cover",North America,US,Grassland,950,0.897000015
104,qdtnorth.cl,Quebrada de Talca North Facing,"Biomass, cover",South America,CL,Shrubland,195,0.104999997
105,qdtsouth.cl,Quebrada de Talca South Facing,"Biomass, cover",South America,CL,Shrubland,195,0.104999997
106,quilpie.au,Quilpie,"Biomass, cover",Australia,AU,Grassland,354,0.166999996
107,rhijn.nl,Rhijnauwen,"Biomass, cover",Europe,NL,Grassland,796.92,1.261999965
108,riomayo.ar,Rio Mayo,"Biomass, cover",South America,AR,Shrubland,155,0.221000001
109,sand.us,Sandhills,"Biomass, cover",North America,US,Grassland,1202,NA
110,sclaudio.ar,San Claudio,"Biomass, cover",South America,AR,Grassland,950,0.869000018
111,scruzh.us,SantaCruzHigh,"Biomass, cover",North America,US,Grassland,745,0.667999983
112,scruzl.us,SantaCruzLow,"Biomass, cover",North America,US,Grassland,745,0.661000013
113,scruzm.us,SantaCruzMiddle,"Biomass, cover",North America,US,Grassland,745,0.661000013
114,sedgwick.us,Sedgwick Reserve,"Biomass, cover",North America,US,Grassland,380,0.393999994
115,sevblack.us,Sevilleta_Black,"Biomass, cover",North America,US,Grassland,249,NA
116,sevblue.us,Sevilleta_Blue,"Biomass, cover",North America,US,Grassland,255,NA
117,sevforest.us,Sevilleta Forest,"Biomass, cover",North America,US,Forest,347,0.165999994
118,sevmixed.us,Sevilleta_Mixed,"Biomass, cover",North America,US,Grassland,234,NA
119,sgsdrt.us,Shortgrass Steppe Drt,"Biomass, cover",North America,US,Grassland,341,0.287
120,sherman.pa,ShermanCrane,"Biomass, cover",North America,PA,Forest,3300,NA
121,skotsvar.no,Skotsvaer,"Biomass, cover",Europe,NO,Shrubland,1766,NA
122,slp.us,SLP,"Biomass, cover",North America,US,Grassland,930.7024634,NA
123,sonora.us,Sonora Agrilife Research Station,"Biomass, cover",North America,US,Grassland,567.9,0.296000004
124,spvdrt.ar,San Pablo Valdes Drt,"Biomass, cover",South America,AR,Grassland,220.6,0.122000001
125,stubai.at,Stubai,"Biomass, cover",Europe,AT,Grassland,1100,2.108999968
126,suiha.cn,GCN-Suiha,Cover (advised not to use biomass for this site),Asia,CN,Grassland,NA,NA
127,swift.ca,Swift Current (Dry Mixed Grass),"Biomass, cover",North America,CA,Grassland,365.6,0.430999994
128,syferkuil.za,Syferkuil (DroughtAct Limpopo),"Biomass, cover",Africa,ZA,Grassland,478,0.444000006
129,teshio.jp,Teshio Experimental Grassland,"Biomass, cover",Asia,JP,Grassland,1108.206,1.914999962
130,thompson.us,Thompson Farm,"Biomass, cover",North America,US,Forest,1082,1.125
131,torla.es,Torla,"Biomass, cover",Europe,ES,Grassland,1405.357,1.340000033
132,tovetorp.se,Tovetorp,"No data, waiting to submit their manuscripts",Europe,SE,,NA,NA
133,ukulingadrt.za,Ukulinga IDE,"Biomass, cover",Africa,ZA,Grassland,732.6,0.748000026
134,urat.cn,GCN-Urat,"Biomass, cover",Asia,CN,Grassland,152,0.152999997
135,validate.fr,Validate,"Biomass, cover",Europe,FR,Grassland,790,0.964999974
136,wayqecha.pe,Wayqecha,"Biomass, cover",South America,PE,Forest,1761,0.52700001
137,wytham.uk,Wytham_RainDrop,"Biomass, cover",Europe,UK,Grassland,743.6,1.049000025
138,xilin.cn,GCN-Xilinhot,"Biomass, cover",Asia,CN,Grassland,338,0.38499999
139,yanchi.cn,GCN-Yanchi,"Biomass, cover",Asia,CN,Grassland,337,0.360000014
140,yarradrt.au,Yarramundi Drt,"Biomass, cover",Australia,AU,Grassland,800,0.714999974
141,youyu.cn,GCN-Youyu,"Biomass, cover",Asia,CN,Grassland,390,0.504999995
